4;270;285
6;637;612
10;896;929
13;1329;1440
19;1838;1974
24;2467;2631
30;3281;3410
43;4867;4188
46;6614;5117
60;5846;6168
3;256;272
6;523;547
9;1224;922
13;1313;1379
19;1819;1945
27;3415;2598
30;3128;3323
42;3941;4220
53;6739;5133
55;5806;6356
3;264;290
7;566;564
9;878;946
14;1329;1396
19;1861;1994
24;2786;2643
44;3287;3424
39;5421;4308
47;4961;5212
56;5941;6278
4;261;277
6;587;560
9;862;936
13;1321;1407
18;2535;1968
26;3322;2674
30;3309;3421
40;4046;4274
48;4968;5282
52;8238;6323
3;270;276
6;523;558
13;1193;932
14;1855;1410
20;1910;2007
24;2498;2797
29;3525;3460
37;4943;4263
49;6268;5240
55;5938;6243
